Country/Region,Province/State,Lat,Long,TotalConfirmed,TotalDeaths,TotalRecovered,TotalPopulation,
Fiji,NA,-17.7134,178.065,32,2,30,889953,
Finland,NA,61.92411,25.748151,13133,351,9100,5520314,
France,St Martin,18.0708,-63.0501,531,8,380,67059887,
France,Saint Pierre and Miquelon,46.8852,-56.3159,16,0,12,67059887,
France,French Guiana,3.9339,-53.1258,10239,69,9955,67059887,
France,French Polynesia,-17.6797,149.4068,3797,14,2844,67059887,
France,Martinique,14.6415,-61.0242,2257,24,98,67059887,
France,Saint Barthelemy,17.9,-62.8333,72,0,55,67059887,
France,New Caledonia,-20.904305,165.618042,27,0,27,67059887,
France,Reunion,-21.1151,55.5364,4776,17,4445,67059887,
France,Mayotte,-12.8275,45.166244,4030,43,2964,67059887,
France,NA,46.2276,2.2137,843475,33054,85035,67059887,
France,Guadeloupe,16.265,-61.551,7122,96,2199,67059887,
Gabon,NA,-0.8037,11.6094,8881,54,8430,2172579,
Gambia,NA,13.4432,-15.3101,3649,118,2649,2340000,
Georgia,NA,42.3154,43.3569,15327,124,7613,3720382,
Germany,NA,51.165691,10.451526,359802,9773,289027,83132799,
Ghana,NA,7.9465,-1.0232,47173,310,46527,30417856,
Greece,NA,39.0742,21.8243,24450,490,1347,10716322,
Grenada,NA,12.1165,-61.679,25,0,24,112003,
Guatemala,NA,15.7835,-90.2308,100431,3478,89494,16604026,
Guinea,NA,9.9456,-9.6966,11362,70,10420,12771246,
Guinea-Bissau,NA,11.8037,-15.1804,2389,41,1782,1920922,
Guyana,NA,4.860416,-58.93018,3672,107,2590,782766,
Haiti,NA,18.9712,-72.2852,8925,231,7182,11263077,
Holy See,NA,41.9029,12.4534,26,0,12,825,
Honduras,NA,15.2,-86.2419,86691,2556,34546,9746117,
Hungary,NA,47.1625,19.5033,43025,1085,13134,9769949,
Iceland,NA,64.9631,-19.0208,3929,11,2713,361313,
India,NA,20.593684,78.96288,7432680,112998,6524595,1366417754,
Indonesia,NA,-0.7893,113.9213,353461,12347,277544,270625568,
Iran,NA,32.427908,53.688046,522387,29870,420910,82913906,
Iraq,NA,33.223191,43.679291,420303,10142,353962,39309783,
Ireland,NA,53.1424,-7.6921,47427,1841,23364,4941444,
Israel,NA,31.046051,34.851612,301896,2141,262503,9053300,
Italy,NA,41.87194,12.56738,391611,36427,247872,60297396,
Jamaica,NA,18.1096,-77.2975,8132,162,3653,2948279,
Japan,NA,36.204824,138.252924,92044,1664,83882,126264931,
Jordan,NA,31.24,36.51,34548,310,6692,10101694,
Kazakhstan,NA,48.0196,66.9237,109302,1768,104921,18513930,
Kenya,NA,-0.0236,37.9062,43580,813,31648,52573973,
"Korea, South",NA,35.907757,127.766922,25108,443,23258,51269185,
Kosovo,NA,42.602636,20.902977,16606,652,14556,1794248,
Kuwait,NA,29.31166,47.481766,114744,690,106495,4207083,
Kyrgyzstan,NA,41.20438,74.766098,51020,1103,45288,6389500,
Laos,NA,19.85627,102.495496,23,0,22,7234171,
Latvia,NA,56.8796,24.6032,3204,42,1329,1912789,
Lebanon,NA,33.8547,35.8623,60113,509,26468,6855713,
Lesotho,NA,-29.61,28.2336,1833,42,961,2125268,
Liberia,NA,6.428055,-9.429499,1377,82,1264,4937374,
Libya,NA,26.3351,17.228331,47845,699,26062,6777452,
Liechtenstein,NA,47.14,9.55,192,1,132,38019,
Lithuania,NA,55.1694,23.8813,7041,112,3035,2786844,
Luxembourg,NA,49.8153,6.1296,10471,133,8468,619896,
Madagascar,NA,-18.766947,46.869107,16754,237,16124,26969307,
